Control item (Have you answered this questionnaire randomly?) 1 = No; 5 = Yes,Age,Sex,Education,Nationality,Religion,Political tendency (1 = Left-wing), PSEUDO 1, PSEUDO 2, PSEUDO 3, PSEUDO 4 (R) , PSEUDO 5, PSEUDO 6, PSEUDO 7 (R) , PSEUDO 8, PSEUDO 9, PSEUDO 10, PSEUDO 11 (R) , PSEUDO 12, PSEUDO 13, PSEUDO 14, PSEUDO 15, PSEUDO 16, PSEUDO 17, PSEUDO 18, PSEUDO 19, PSEUDO 20, PSEUDO 21, PSEUDO 22, PSEUDO 23, PSEUDO 24 (R) , PSEUDO 25 (R) , PSEUDO 26, PSEUDO 27 (R) , PSEUDO 28, PSEUDO 29, PSEUDO 30, PITS-PSEUDO 1, PITS-PSEUDO 2, PITS-PSEUDO 3, PITS-PSEUDO 4, PITS-PSEUDO 5, PITS-PSEUDO 6, PITS-PSEUDO 7, PITS-PSEUDO 8, PITS-PSEUDO 9, PITS-PSEUDO 10, IAS-PSEUDO 1 (R) , IAS-PSEUDO 2, IAS-PSEUDO 3, IAS-PSEUDO 4 (R) , IAS-PSEUDO 5 (R) , IAS-PSEUDO 6, GIS-PSEUDO 1, GIS-PSEUDO 2, GIS-PSEUDO 3 (R) , GIS-PSEUDO 4 (R) , GIS-PSEUDO 5, GIS-PSEUDO 6 (R) , GIS-PSEUDO 7, GIS-PSEUDO 8 (R) , GIS-PSEUDO 9, GIS-PSEUDO 10 (R) , GIS-PSEUDO 11 (R) , GIS-PSEUDO 12,SDQ-PSEUDO 1 (R),SDQ-PSEUDO 2,SDQ-PSEUDO 3,SDQ-PSEUDO 4 (R),SDQ-PSEUDO 5,SDQ-PSEUDO 6 (R),SDQ-PSEUDO 7,SDQ-PSEUDO 8,SDQ-PSEUDO 9
1,39,Female,University,España,Atheist,3,1,1,1,5,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,5,1,2,1,2,5,1,3,3,4,4,2,4,1,2,2,2,3,3,1,4,5,2,2,2,2,4,4,4,2,2,5,2,6,5,3,7,2,6,3,6
1,18,Male,University,Española,Atheist,2,3,3,1,5,1,1,5,1,4,4,5,1,3,1,1,1,1,3,1,1,1,3,3,5,5,1,5,1,4,1,5,5,5,5,5,5,5,5,5,5,2,4,4,1,1,3,3,4,2,1,3,1,3,6,4,1,1,4,2,5,6,1,6,2,4,2,6
1,40,Female,University,española,Agnostic,4,3,1,3,5,1,1,5,1,1,2,5,1,3,1,1,3,1,1,1,1,1,1,1,3,4,1,4,4,3,1,4,4,3,4,3,3,3,3,4,4,3,3,2,3,3,2,3,3,3,3,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4
1,41,Male,University,Española,Non-practicing religious,2,1,1,1,5,1,1,5,1,1,1,5,1,3,1,1,1,1,1,1,4,1,2,1,5,5,1,5,1,2,1,4,5,4,3,4,4,5,4,4,3,1,3,2,3,1,2,3,3,2,3,3,3,4,5,5,1,2,5,1,4,4,4,6,4,5,7,7
1,37,Male,Pre-University,española,Atheist,2,1,1,1,5,1,1,5,1,1,1,5,1,3,1,1,1,1,1,1,4,1,1,1,5,4,1,1,1,1,1,5,5,5,5,5,4,5,5,4,2,3,1,1,3,2,3,5,3,3,4,3,3,5,4,3,3,3,5,1,7,7,1,7,1,7,7,7
1,22,Male,University,Español,Non-practicing religious,3,1,1,2,5,1,1,5,1,1,1,5,1,3,1,1,1,1,1,2,1,2,3,1,5,5,1,5,2,2,1,4,5,4,3,5,4,4,4,3,3,2,1,1,3,3,2,3,2,2,3,3,2,5,3,4,1,2,4,3,6,5,4,7,3,4,6,7
1,45,Male,University,Española,Atheist,6,1,1,1,5,1,1,5,1,1,1,5,1,2,1,5,1,1,1,2,3,1,1,1,4,5,1,5,1,2,1,4,4,4,5,4,4,5,4,5,4,3,3,1,3,3,3,2,3,2,2,1,4,2,5,3,2,1,3,1,7,7,6,7,2,7,7,7
1,64,Male,University,española,Religious,10,5,5,5,1,1,5,1,5,1,5,1,5,5,5,5,5,3,1,1,5,3,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,1,1,2,5,5,1,1,5,1,5,5,5,5,1,5,1,7,7,7,7,1,7,7,7
2,37,Female,University,Israel ,Agnostic,4,3,3,3,5,2,2,5,1,2,3,5,3,4,1,1,2,1,2,1,3,1,2,3,4,4,2,4,3,2,1,4,5,4,4,5,4,5,3,4,3,3,2,4,3,3,4,4,3,3,4,2,5,5,5,3,6,4,5,2,5,6,2,7,4,5,4,6
1,45,Male,University,Española,Agnostic,3,1,1,1,5,1,1,5,1,1,1,5,1,5,1,1,1,1,1,1,2,1,1,1,5,5,1,5,2,2,1,5,5,4,5,4,3,4,5,4,5,1,1,1,1,1,2,5,3,2,2,4,2,5,3,5,1,2,5,1,7,7,5,7,2,7,7,7
